ANIO,SINIESTROS,LESIONADOS,FALLECIDOS,ENTE_DE_CONTROL,LATITUD_Y,LONGITUD_X,DPA_1,PROVINCIA,DPA_2,CANTON,DPA_3,PARROQUIA,DIRECCION,ZONA_PLANIFICACION,ZONA,ID_DE_LA_VIA,NOMBRE_DE_LA_VIA,UBICACION_DE_LA_VIA,JERARQUIA_DE_LA_VIA,FECHA,HORA,PERIODO_1,PERIODO_2,DIA_1,DIA_2,MES_1,MES_2,FERIADO,CODIGO_CAUSA,CAUSA_PROBABLE,TIPO_DE_SINIESTRO,TIPO_DE_VEHICULO_1,SERVICIO_1,AUTOMOVIL,BICICLETA,BUS,CAMION,CAMIONETA,EMERGENCIAS,ESPECIAL,FURGONETA,MOTOCICLETA,NO_IDENTIFICADO,SCOOTER_ELECTRICO,TRICIMOTO,VEHICULO_DEPORTIVO_UTILITARIO,SUMA_DE_VEHICULOS,TIPO_ID_1,EDAD_1,SEXO_1,CONDICION_1,PARTICIPANTE_1,CASCO_1,CINTURON_1
2023,PNE00016012023,0,0,PNE,-0.448295,-78.558551,17,PICHINCHA,1703,MEJIA,170351,ALOAG,PANAMERICANA  SUR  E-35  KM  290  -,ZONA 2,RURAL,67,ESTACION DE PESAJE - ALOAG (OBELISCO),E35 - E20,ARTERIAL,1/1/2023,18:00:00,DE 18H00 A 18H59,18,domingo,7,ENERO,1,SI,C14,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE LATERAL,CAMIÓN,PÚBLICO,1,0,0,1,0,0,0,0,0,0,0,0,0,2,LICENCIA,39,HOMBRE,ILESO,CONDUCTOR,NO,SI
2023,DMQ00033012023,1,0,DMQ,-0.291477,-78.567163,17,PICHINCHA,1701,QUITO,170150,QUITO,LUIS DUQUE Y DEL OLEODUCTO,ZONA 9,URBANA,ND,ND,ND,ND,1/1/2023,18:45:00,DE 18H00 A 18H59,18,domingo,7,ENERO,1,SI,C10,"CONDICIONES AMBIENTALES Y/O ATMOSFÉRICAS (NIEBLA, NEBLINA, GRANIZO, LLUVIA).",CHOQUE LATERAL,BUS,PÚBLICO,0,0,1,0,0,0,0,0,1,0,0,0,0,2,LICENCIA,29,HOMBRE,LESIONADO,CONDUCTOR,SI,NO
2023,CTE00089012023,0,0,CTE,-0.449972,-78.649778,17,PICHINCHA,1703,MEJIA,170351,ALOAG,RED. ESTATAL E-20 KM 16+020 SENTIDO  SANTO DOMINGO - QUITO,ZONA 2,RURAL,331,ALOAG (OBELISCO) - TANDAPI,E20,ARTERIAL,4/1/2023,11:15:00,DE 11H00 A 11H59,11,miércoles,3,ENERO,1,NO,C14,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,CAMIÓN,PÚBLICO,1,0,0,1,0,0,0,0,0,0,0,0,0,2,LICENCIA,30,HOMBRE,ILESO,CONDUCTOR,NO,NO
2023,DMQ00112012023,1,0,DMQ,-0.123792,-78.498738,17,PICHINCHA,1701,QUITO,170150,QUITO,MACHALA Y FLAVIO ALFARO,ZONA 9,URBANA,ND,ND,ND,ND,6/1/2023,9:50:00,DE 09H00 A 09H59,9,viernes,5,ENERO,1,NO,C26,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,BUS,PÚBLICO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CÉDULA,27,HOMBRE,LESIONADO,PEATÓN,NO,NO
2023,DMQ00160012023,0,0,DMQ,-0.326044,-78.556305,17,PICHINCHA,1701,QUITO,170150,QUITO,LEOPOLDO CHAVEZ Y MARISCAL SUCRE,ZONA 9,URBANA,ND,ND,ND,ND,8/1/2023,11:19:00,DE 11H00 A 11H59,11,domingo,7,ENERO,1,NO,C23,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",ESTRELLAMIENTOS,BUS,PÚBLICO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,LICENCIA,64,HOMBRE,ILESO,CONDUCTOR,NO,NO
2023,DMQ00201012023,0,0,DMQ,-0.220112,-78.507467,17,PICHINCHA,1701,QUITO,170150,QUITO,PICHINCHA Y MANABI,ZONA 9,URBANA,ND,ND,ND,ND,10/1/2023,15:45:00,DE 15H00 A 15H59,15,martes,2,ENERO,1,NO,C10,"CONDICIONES AMBIENTALES Y/O ATMOSFÉRICAS (NIEBLA, NEBLINA, GRANIZO, LLUVIA).",CHOQUE LATERAL,BUS,PÚBLICO,0,0,1,0,0,0,0,0,1,0,0,0,0,2,LICENCIA,31,HOMBRE,ILESO,CONDUCTOR,SI,NO
2023,DMQ00203012023,0,1,DMQ,-0.115461,-78.489524,17,PICHINCHA,1701,QUITO,170150,QUITO,BELLAVISTA Y DE LOS MOLLES,ZONA 9,URBANA,ND,ND,ND,ND,10/1/2023,17:00:00,DE 17H00 A 17H59,17,martes,2,ENERO,1,NO,C26,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,BUS,PÚBLICO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CÉDULA,75,HOMBRE,FALLECIDO,PEATÓN,NO,NO
2023,DMQ00237012023,0,0,DMQ,-0.230194,-78.506516,17,PICHINCHA,1701,QUITO,170150,QUITO,PICHINCHA Y PIEDRA,ZONA 9,URBANA,ND,ND,ND,ND,12/1/2023,10:50:00,DE 10H00 A 10H59,10,jueves,4,ENERO,1,NO,C25,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,CHOQUE LATERAL,BUS,PÚBLICO,0,0,1,0,0,0,0,0,1,0,0,0,0,2,LICENCIA,31,HOMBRE,ILESO,CONDUCTOR,SI,NO
2023,DMQ00268012023,1,0,DMQ,-0.115346,-78.490589,17,PICHINCHA,1701,QUITO,170150,QUITO,DIEGO VASQUEZ DE CEPEDA Y BELLAVISTA,ZONA 9,URBANA,ND,ND,ND,ND,13/01/2023,13:00:00,DE 13H00 A 13H59,13,viernes,5,ENERO,1,NO,C25,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,CHOQUE LATERAL,BUS,PÚBLICO,0,0,1,0,0,0,0,0,1,0,0,0,0,2,LICENCIA,37,HOMBRE,LESIONADO,CONDUCTOR,SI,NO
2023,DMQ00278012023,0,0,DMQ,-0.233543,-78.508845,17,PICHINCHA,1701,QUITO,170150,QUITO,VELASCO IBARRA Y SENA,ZONA 9,URBANA,ND,ND,ND,ND,13/01/2023,21:50:00,DE 21H00 A 21H59,21,viernes,5,ENERO,1,NO,C06,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE FRONTAL,BUS,PÚBLICO,0,0,1,0,1,0,0,0,0,0,0,0,0,2,LICENCIA,31,HOMBRE,ILESO,CONDUCTOR,NO,NO
