Income;Limit;Rating;Cards;Age;Education;Gender;Student;Married;Ethnicity;Balance
14891;3606;283;2;34;11; Male;No;Yes;Caucasian;333
106025;6645;483;3;82;15;Female;Yes;Yes;Asian;903
104593;7075;514;4;71;11; Male;No;No;Asian;580
148924;9504;681;3;36;11;Female;No;No;Asian;964
55882;4897;357;2;68;16; Male;No;Yes;Caucasian;331
80.18;8047;569;4;77;10; Male;No;No;Caucasian;1151
20996;3388;259;2;37;12;Female;No;No;African American;203
71408;7114;512;2;87;9; Male;No;No;Asian;872
15125;3300;266;5;66;13;Female;No;No;Caucasian;279
71061;6819;491;3;41;19;Female;Yes;Yes;African American;1350
63095;8117;589;4;30;14; Male;No;Yes;Caucasian;1407
15045;1311;138;3;64;16; Male;No;No;Caucasian;0
80616;5308;394;1;57;7;Female;No;Yes;Asian;204
43682;6922;511;1;49;9; Male;No;Yes;Caucasian;1081
19144;3291;269;2;75;13;Female;No;No;African American;148
20089;2525;200;3;57;15;Female;No;Yes;African American;0
53598;3714;286;3;73;17;Female;No;Yes;African American;0
36496;4378;339;3;69;15;Female;No;Yes;Asian;368
49.57;6384;448;1;28;9;Female;No;Yes;Asian;891
42079;6626;479;2;44;9; Male;No;No;Asian;1048
17.7;2860;235;4;63;16;Female;No;No;Asian;89
37348;6378;458;1;72;17;Female;No;No;Caucasian;968
20103;2631;213;3;61;10; Male;No;Yes;African American;0
64027;5179;398;5;48;8; Male;No;Yes;African American;411
10742;1757;156;3;57;15;Female;No;No;Caucasian;0
14.09;4323;326;5;25;16;Female;No;Yes;African American;671
42471;3625;289;6;44;12;Female;Yes;No;Caucasian;654
32793;4534;333;2;44;16; Male;No;No;African American;467
186634;13414;949;2;41;14;Female;No;Yes;African American;1809
26813;5611;411;4;55;16;Female;No;No;Caucasian;915
34142;5666;413;4;47;5;Female;No;Yes;Caucasian;863
28941;2733;210;5;43;16; Male;No;Yes;Asian;0
134181;7838;563;2;48;13;Female;No;No;Caucasian;526
31367;1829;162;4;30;10; Male;No;Yes;Caucasian;0
20.15;2646;199;2;25;14;Female;No;Yes;Asian;0
23.35;2558;220;3;49;12;Female;Yes;No;Caucasian;419
62413;6457;455;2;71;11;Female;No;Yes;Caucasian;762
30007;6481;462;2;69;9;Female;No;Yes;Caucasian;1093
11795;3899;300;4;25;10;Female;No;No;Caucasian;531
13647;3461;264;4;47;14; Male;No;Yes;Caucasian;344
34.95;3327;253;3;54;14;Female;No;No;African American;50
113659;7659;538;2;66;15; Male;Yes;Yes;African American;1155
44158;4763;351;2;66;13;Female;No;Yes;Asian;385
36929;6257;445;1;24;14;Female;No;Yes;Asian;976
31861;6375;469;3;25;16;Female;No;Yes;Caucasian;1120
77.38;7569;564;3;50;12;Female;No;Yes;Caucasian;997
19531;5043;376;2;64;16;Female;Yes;Yes;Asian;1241
44646;4431;320;2;49;15; Male;Yes;Yes;Caucasian;797
44522;2252;205;6;72;15; Male;No;Yes;Asian;0
43479;4569;354;4;49;13; Male;Yes;Yes;African American;902
