CODIGOPAIS,PAIS,CONTINENTEXP,TOTALCASOS,TOTALMUERTES,POBLACION,UTIL_SER_BASIC_T_A,UTIL_SER_BASIC_T,UTIL_SER_BASIC_U,UTIL_SER_BASIC_GER_T_A,UTIL_SER_BASIC_GER_T,UTIL_SER_BASIC_GER_U
LBY,Libya,Africa,90779,1299,6777453,000000,100,0,0,0,0,0
SMR,SanMarino,Europe,1947,51,34453,000000,100,0,0,100,0,0
BWA,Botswana,Africa,12501,37,2303703,000000,92,98,79,0,83,0
VGB,BritishVirginIslands,America,76,1,30033,000000,0,0,0,0,0,0
QAT,Qatar,Asia,140961,240,2832071,000000,100,0,0,96,0,0
CUB,Cuba,America,9423,137,11333484,000000,97,98,94,0,0,0
IMN,IsleofMan,Europe,370,25,84589,000000,0,0,0,0,0,0
SXM,SintMaarten,America,1232,26,42389,000000,0,0,0,0,0,0
MWI,Malawi,Africa,6066,187,18628749,000000,70,86,67,0,0,0
MRT,Mauritania,Africa,10780,222,4525698,000000,72,89,50,0,0,0
RUS,Russia,Europe,2653928,46941,145872260,000000,0,0,0,0,0,0
BOL,Bolivia,America,147150,9018,11513102,000000,0,0,0,0,0,0
URY,Uruguay,America,9708,92,3461731,000000,99,100,95,0,95,0
BRN,BruneiDarussalam,Asia,152,3,433296,000000,100,100,0,0,0,0
PER,Peru,America,984973,36677,32510462,000000,93,97,81,51,59,22
SSD,SouthSudan,Africa,3206,62,11062114,000000,41,70,34,0,0,0
JPN,Japan,Asia,179653,2585,126860299,000000,99,0,0,99,0,0
THA,Thailand,Asia,4237,60,69625581,000000,100,100,100,0,0,0
CHL,Chile,America,571919,15886,18952035,000000,100,100,100,99,99,0
DNK,Denmark,Europe,109758,941,5806081,000000,100,100,100,97,0,0
ITA,Italy,Europe,1843712,64520,60359546,000000,100,0,0,96,0,0
BHS,Bahamas,America,7674,163,389486,000000,0,0,0,0,0,0
LVA,Latvia,Europe,25675,349,1919968,000000,99,99,99,96,0,0
AUT,Austria,Europe,320036,4400,8858775,000000,100,100,100,99,0,0
LCA,SaintLucia,America,275,4,182795,000000,97,97,97,0,0,0
UGA,Uganda,Africa,27532,221,44269587,000000,56,79,48,17,43,8
NZL,NewZealand,Oceania,1740,25,4783062,000000,100,100,100,100,0,0
VNM,Vietnam,Asia,1397,35,96462108,000000,97,99,96,0,0,0
DZA,Algeria,Africa,92102,2596,43053054,000000,94,96,90,72,74,69
LTU,Lithuania,Europe,95021,825,2794184,000000,98,100,94,95,99,0
STP,SaoTomeandPrincipe,Africa,1009,17,215048,000000,78,80,74,36,40,25
ZMB,Zambia,Africa,18274,367,17861034,000000,65,87,48,0,50,0
GBR,UnitedKingdom,Europe,1849403,64170,66647112,000000,0,0,0,0,0,0
PHL,Philippines,Asia,449400,8733,108116622,000000,94,97,91,47,62,35
IDN,Indonesia,Asia,617820,18819,270625567,000000,92,98,86,0,0,0
VEN,Venezuela,America,107177,949,28515829,000000,0,0,0,0,0,0
GAB,Gabon,Africa,9330,63,2172578,000000,85,90,45,0,0,0
HND,Honduras,America,114359,2975,9746115,000000,96,100,90,0,0,19
