Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,767364883,9844.902299004183,179431,2.302008736061252,0,6938353,89.01555037801043,931,0.011944257866661971,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99268660,6747.064,5829,0.396,0,121235,8.24,68,0.005,0
India,South-East Asia,44990278,3260.155,2387,0.173,0,531867,38.541,18,0.001,0
France,Europe,39035040,60017.566,19042,29.278,0,163570,251.494,56,0.086,0
Germany,Europe,38426308,46203.953,1642,1.974,0,174247,209.515,4,0.005,0
Brazil,Americas,37579028,17679.305,25691,12.087,0,702664,330.573,243,0.114,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,31646973,61727.084,54544,106.387,0,34754,67.787,35,0.068,0
Italy,Europe,25857572,43355.008,5022,8.42,0,190392,319.227,51,0.086,0
The United Kingdom,Europe,24618436,36264.376,1465,2.158,0,226278,333.321,0,0,0
Russian Federation,Europe,22917873,15704.223,0,0,0,398919,273.355,0,0,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13868227,29299.516,0,0,0,121213,256.088,0,0,0
Viet Nam,Western Pacific,11609878,11927.314,4480,4.602,0,43206,44.387,1,0.001,0
Australia,Western Pacific,11381171,44632.246,0,0,0,20866,81.828,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Mexico,Americas,7614771,5906.002,2103,1.631,0,334107,259.133,11,0.009,0
Iran (Islamic Republic of),Eastern Mediterranean,7611583,9062.169,210,0.25,0,146253,174.125,8,0.01,0
Indonesia,South-East Asia,6807085,2488.664,2795,1.022,0,161762,59.14,47,0.017,0
Poland,Europe,6516890,17168.624,337,0.888,0,119610,315.11,7,0.018,0
Colombia,Americas,6367600,12514.226,823,1.617,0,142748,280.542,7,0.014,0
Austria,Europe,6076625,68268.524,1670,18.762,0,22501,252.79,4,0.045,0
Greece,Europe,6067218,56604.76,0,0,0,36969,344.906,0,0,0
Portugal,Europe,5588310,54276.995,1693,16.443,0,26759,259.899,30,0.291,0
Ukraine,Europe,5553031,12697.356,0,0,0,112352,256.9,0,0,0
Chile,Americas,5287288,27658.675,473,2.474,0,61508,321.758,17,0.089,0
Malaysia,Western Pacific,5100249,15758.046,5801,17.923,0,37087,114.586,17,0.053,0
Israel,Europe,4826031,55756.549,323,3.732,0,12527,144.728,0,0,0
Belgium,Europe,4799107,41650.093,83,0.72,0,34336,297.992,0,0,0
Thailand,South-East Asia,4738988,6789.383,0,0,0,34053,48.787,0,0,0
Canada,Americas,4676878,12391.656,3147,8.338,0,52425,138.903,34,0.09,0
Czechia,Europe,4642065,43408.374,233,2.179,0,42802,400.245,3,0.028,0
Peru,Americas,4507363,13670.335,1503,4.558,0,220673,669.277,112,0.34,0
Switzerland,Europe,4405430,50902.651,0,0,0,14016,161.948,0,0,0
Philippines,Western Pacific,4139295,3777.381,9028,8.239,0,66466,60.655,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3413689,58626.618,258,4.431,0,8695,149.328,22,0.378,0
Romania,Europe,3404197,17612.011,1841,9.525,0,68184,352.758,12,0.062,0
Sweden,Europe,2709815,26238.602,0,0,0,24336,235.641,0,0,0
Serbia,Europe,2541522,36691.645,959,13.845,0,18051,260.6,3,0.043,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2459457,42039.542,0,0,0,1722,29.434,0,0,0
New Zealand,Western Pacific,2306943,47839.725,11384,236.073,0,2942,61.009,49,1.016,0
Hungary,Europe,2202716,22546.805,0,0,0,48784,499.349,0,0,0
Bangladesh,South-East Asia,2039244,1238.236,503,0.305,0,29446,17.88,0,0,0
Slovakia,Europe,1866857,34204.845,43,0.788,0,21167,387.825,0,0,0
Georgia,Europe,1842046,46176.114,0,0,0,17070,427.908,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1712113,34487.535,98,1.974,0,8960,180.484,25,0.504,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1484882,27663.901,140,2.608,0,5528,102.989,0,0,0
Finland,Europe,1479608,26778.82,128,2.317,0,9676,175.122,0,0,0
Slovenia,Europe,1344104,64131.352,0,0,0,9364,446.785,0,0,0
Lithuania,Europe,1320438,47258.249,319,11.417,0,9681,346.481,2,0.072,0
Bulgaria,Europe,1307420,18807.788,436,6.272,0,38382,552.141,9,0.129,0
Morocco,Eastern Mediterranean,1274180,3452.074,0,0,0,16297,44.153,0,0,0
Croatia,Europe,1273795,31388.448,124,3.056,0,18255,449.834,9,0.222,0
Guatemala,Americas,1252170,6989.284,1084,6.051,0,20200,112.751,1,0.006,0
Puerto Rico,Americas,1249469,43674.701,6903,241.292,0,5938,207.56,0,0,0
Lebanon,Eastern Mediterranean,1237556,18131.506,0,0,0,10914,159.902,0,0,0
Costa Rica,Americas,1232576,24196.063,987,19.375,0,9374,184.016,1,0.02,0
Bolivia (Plurinational State of),Americas,1198858,10270.332,454,3.889,0,22384,191.758,1,0.009,0
Tunisia,Eastern Mediterranean,1153261,9758.001,0,0,0,29415,248.887,0,0,0
Cuba,Americas,1114063,9835.797,233,2.057,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,106,1.072,0,2349,23.75,0,0,0
Ecuador,Americas,1062275,6020.925,0,0,0,36019,204.154,0,0,0
Uruguay,Americas,1038774,29903.706,881,25.362,0,7634,219.764,9,0.259,0
Panama,Americas,1038642,24071.798,0,0,0,8623,199.849,0,0,0
Mongolia,Western Pacific,1008655,30767.717,0,0,0,2136,65.156,0,0,0
Nepal,South-East Asia,1003335,3443.531,19,0.065,0,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,977891,51260.88,0,0,0,6368,333.809,0,0,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,831822,8204.04,74,0.73,0,10273,101.32,0,0,0
Paraguay,Americas,735759,10315.529,0,0,0,19880,278.723,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672449,3140.341,56,0.262,0,16872,78.792,3,0.014,0
Kuwait,Eastern Mediterranean,665931,15593.489,22,0.515,0,2570,60.179,0,0,0
Dominican Republic,Americas,661176,6094.962,0,0,0,4384,40.413,0,0,0
Cyprus,Europe,660854,74420.076,0,0,0,1364,153.603,0,0,0
Myanmar,South-East Asia,638818,1174.086,517,0.95,0,19494,35.828,0,0,0
Republic of Moldova,Europe,620574,15383.731,0,0,0,12118,300.399,0,0,0
Estonia,Europe,618918,46571.044,122,9.18,0,3001,225.813,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,516023,504.252,0,0,0,24830,24.264,0,0,0
Qatar,Eastern Mediterranean,512936,17803.768,272,9.441,0,690,23.95,0,0,0
Libya,Eastern Mediterranean,507262,7382.338,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,500893,435.697,13,0.011,0,7574,6.588,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472619,4771.709,0,0,0,11116,112.231,0,0,0
Armenia,Europe,449203,15159.215,11,0.371,0,8750,295.285,0,0,0
Bosnia and Herzegovina,Europe,402998,12283.472,18,0.549,0,16347,498.26,1,0.03,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,348276,16716.874,0,0,0,9677,464.486,0,0,0
Zambia,Africa,343995,1871.17,0,0,0,4058,22.074,0,0,0
Kenya,Africa,343074,638.024,0,0,0,5688,10.578,0,0,0
Albania,Europe,334090,11609.215,0,0,0,3604,125.235,0,0,0
Botswana,Africa,329905,14028.798,0,0,0,2797,118.939,0,0,0
Luxembourg,Europe,319959,51102.845,0,0,0,1232,196.771,0,0,0
Brunei Darussalam,Western Pacific,306333,70022.333,0,0,0,161,36.802,0,0,0
Mauritius,Africa,306323,24086.39,0,0,0,1050,82.562,0,0,0
Montenegro,Europe,291845,46467.546,0,0,0,2827,450.115,0,0,0
Kosovo[1],Europe,273899,15253.338,9,0.501,0,3208,178.652,1,0.056,0
Algeria,Africa,271835,619.905,13,0.03,0,6881,15.692,0,0,0
Nigeria,Africa,266675,129.366,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,265030,1783.162,62,0.417,0,5695,38.317,4,0.027,0
Uzbekistan,Europe,253662,757.897,0,0,0,1637,4.891,0,0,0
Mozambique,Africa,233417,746.805,0,0,0,2243,7.176,0,0,0
Martinique,Americas,229975,61283.36,0,0,0,1102,293.659,0,0,0
Afghanistan,Eastern Mediterranean,221332,568.563,655,1.683,0,7914,20.33,0,0,0
Lao People's Democratic Republic,Western Pacific,218226,2999.439,9,0.124,0,671,9.223,0,0,0
Iceland,Europe,209191,57448.906,0,0,0,260,71.402,0,0,0
Kyrgyzstan,Europe,206890,3171.121,0,0,0,2991,45.845,0,0,0
Guadeloupe,Americas,202836,50693.285,0,0,0,1017,254.171,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,191496,13683.29,0,0,0,4390,313.686,0,0,0
Maldives,South-East Asia,186651,34530.214,26,4.81,0,315,58.275,0,0,0
Ghana,Africa,171653,552.42,0,0,0,1462,4.705,0,0,0
Namibia,Africa,171310,6742.086,0,0,0,4091,161.006,0,0,0
Uganda,Africa,170775,373.352,0,0,0,3632,7.94,0,0,0
Jamaica,Americas,154993,5234.186,55,1.857,0,3549,119.851,4,0.135,0
Cambodia,Western Pacific,138771,830.021,26,0.156,0,3056,18.279,0,0,0
Rwanda,Africa,133194,1028.349,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,125036,471.019,0,0,0,1972,7.429,0,0,0
Malta,Europe,118756,23078.956,79,15.353,0,837,162.662,1,0.194,0
Barbados,Americas,107794,37509.874,0,0,0,593,206.351,0,0,0
